"REF_DATE","GEO","DGUID","Lender type","Characteristics of outstanding residential mortgage loans","Residential mortgage loans outstanding","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-01","Canada","2021A000011124","All non-bank lenders","More than 10 years and up to 15 years, uninsured outstanding residential mortgages by amortization period","Number of mortgages outstanding","Number","223","units","0","v1374992307","1.1.14.2","137243","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","More than 15 years and up to 20 years, uninsured outstanding residential mortgages by amortization period","Value of mortgages outstanding","Dollars","81","thousands","3","v1374992068","1.1.15.1","31452157","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","More than 15 years and up to 20 years, uninsured outstanding residential mortgages by amortization period","Number of mortgages outstanding","Number","223","units","0","v1374992308","1.1.15.2","166087","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","More than 20 years, uninsured outstanding residential mortgages by amortization period","Value of mortgages outstanding","Dollars","81","thousands","3","v1374992069","1.1.16.1","131575860","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","More than 20 years, uninsured outstanding residential mortgages by amortization period","Number of mortgages outstanding","Number","223","units","0","v1374992309","1.1.16.2","537958","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","Non-amortized mortgages, uninsured outstanding residential mortgages by amortization period","Value of mortgages outstanding","Dollars","81","thousands","3","v1374992070","1.1.17.1","0","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","Non-amortized mortgages, uninsured outstanding residential mortgages by amortization period","Number of mortgages outstanding","Number","223","units","0","v1374992310","1.1.17.2","0","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","Total insured outstanding residential mortgages by total debt service (TDS) ratio","Value of mortgages outstanding","Dollars","81","thousands","3","v1374992071","1.1.18.1","133557822","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","Total insured outstanding residential mortgages by total debt service (TDS) ratio","Number of mortgages outstanding","Number","223","units","0","v1374992311","1.1.18.2","586950","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","30% or less, insured outstanding residential mortgages by TDS ratio","Value of mortgages outstanding","Dollars","81","thousands","3","v1374992072","1.1.19.1","33821362","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","30% or less, insured outstanding residential mortgages by TDS ratio","Number of mortgages outstanding","Number","223","units","0","v1374992312","1.1.19.2","168504","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","More than 30% and up to 35%, insured outstanding residential mortgages by TDS ratio","Value of mortgages outstanding","Dollars","81","thousands","3","v1374992073","1.1.20.1","26041411","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","More than 30% and up to 35%, insured outstanding residential mortgages by TDS ratio","Number of mortgages outstanding","Number","223","units","0","v1374992313","1.1.20.2","116296","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","More than 35% and up to 40%, insured outstanding residential mortgages by TDS ratio","Value of mortgages outstanding","Dollars","81","thousands","3","v1374992074","1.1.21.1","36812474","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","More than 35% and up to 40%, insured outstanding residential mortgages by TDS ratio","Number of mortgages outstanding","Number","223","units","0","v1374992314","1.1.21.2","155690","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","More than 40% and up to 45%, insured outstanding residential mortgages by TDS ratio","Value of mortgages outstanding","Dollars","81","thousands","3","v1374992075","1.1.22.1","29839482","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","More than 40% and up to 45%, insured outstanding residential mortgages by TDS ratio","Number of mortgages outstanding","Number","223","units","0","v1374992315","1.1.22.2","117626","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","More than 45% and up to 50%, insured outstanding residential mortgages by TDS ratio","Value of mortgages outstanding","Dollars","81","thousands","3","v1374992076","1.1.23.1","3401017","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","More than 45% and up to 50%, insured outstanding residential mortgages by TDS ratio","Number of mortgages outstanding","Number","223","units","0","v1374992316","1.1.23.2","13429","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","More than 50% and up to 55%, insured outstanding residential mortgages by TDS ratio","Value of mortgages outstanding","Dollars","81","thousands","3","v1374992077","1.1.24.1","926534","","","","0"
